year,category,prize,motivation,prize_share,laureate_type,full_name,birth_date,birth_city,birth_country,birth_country_current,sex,organization_name,organization_city,organization_country,ISO,winning_age
1949,Chemistry,The Nobel Prize in Chemistry 1949,"""for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures""",1-Jan,Individual,William Francis Giauque,1895-05-12,Niagara Falls,Canada,Canada,Male,University of California,"Berkeley, CA",United States of America,CAN,54.0
1949,Literature,The Nobel Prize in Literature 1949,"""for his powerful and artistically unique contribution to the modern American novel""",1-Jan,Individual,William Faulkner,1897-09-25,"New Albany, MS",United States of America,United States of America,Male,,,,USA,52.0
1949,Medicine,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",2-Jan,Individual,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Avanca,Portugal,Portugal,Male,University of Lisbon,Lisbon,Portugal,PRT,75.0
1949,Medicine,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs""",2-Jan,Individual,Walter Rudolf Hess,1881-03-17,Frauenfeld,Switzerland,Switzerland,Male,University of Zurich,Zurich,Switzerland,CHE,68.0
1949,Peace,The Nobel Peace Prize 1949,,1-Jan,Individual,Lord (John) Boyd Orr of Brechin,1880-09-23,Kilmaurs,Scotland,United Kingdom,Male,,,,GBR,69.0
1949,Physics,The Nobel Prize in Physics 1949,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",1-Jan,Individual,Hideki Yukawa,1907-01-23,Tokyo,Japan,Japan,Male,Kyoto University,Kyoto,Japan,JPN,42.0
1950,Chemistry,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis""",2-Jan,Individual,Kurt Alder,1902-07-10,Königshütte (Chorzów),Prussia (Poland),Poland,Male,Cologne University,Cologne,Germany,POL,48.0
1950,Chemistry,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis""",2-Jan,Individual,Otto Paul Hermann Diels,1876-01-23,Hamburg,Germany,Germany,Male,Kiel University,Kiel,Germany,DEU,74.0
1950,Literature,The Nobel Prize in Literature 1950,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""",1-Jan,Individual,Earl (Bertrand Arthur William) Russell,1872-05-18,Trelleck,United Kingdom,United Kingdom,Male,,,,GBR,78.0
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",3-Jan,Individual,Edward Calvin Kendall,1886-03-08,"South Norwalk, CT",United States of America,United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,USA,64.0
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",3-Jan,Individual,Philip Showalter Hench,1896-02-28,"Pittsburgh, PA",United States of America,United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,USA,54.0
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",3-Jan,Individual,Tadeus Reichstein,1897-07-20,Wloclawek,Poland,Poland,Male,Basel University,Basel,Switzerland,POL,53.0
1950,Peace,The Nobel Peace Prize 1950,,1-Jan,Individual,Ralph Bunche,1904-08-07,"Detroit, MI",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,USA,46.0
1950,Physics,The Nobel Prize in Physics 1950,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",1-Jan,Individual,Cecil Frank Powell,1903-12-05,Tonbridge,United Kingdom,United Kingdom,Male,Bristol University,Bristol,United Kingdom,GBR,47.0
1951,Chemistry,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements""",2-Jan,Individual,Edwin Mattison McMillan,1907-09-18,"Redondo Beach, CA",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America,USA,44.0
1951,Chemistry,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements""",2-Jan,Individual,Glenn Theodore Seaborg,1912-04-19,"Ishpeming, MI",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America,USA,39.0
1951,Literature,The Nobel Prize in Literature 1951,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",1-Jan,Individual,Pär Fabian Lagerkvist,1891-05-23,Växjö,Sweden,Sweden,Male,,,,SWE,60.0
1951,Medicine,The Nobel Prize in Physiology or Medicine 1951,"""for his discoveries concerning yellow fever and how to combat it""",1-Jan,Individual,Max Theiler,1899-01-30,Pretoria,South Africa,South Africa,Male,"Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation","New York, NY",United States of America,ZAF,52.0
1951,Peace,The Nobel Peace Prize 1951,,1-Jan,Individual,Léon Jouhaux,1879-07-01,Paris,France,France,Male,,,,FRA,72.0
1951,Physics,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",2-Jan,Individual,Ernest Thomas Sinton Walton,1903-10-06,Dungarvan,Ireland,Ireland,Male,Trinity College,Dublin,Ireland,IRL,48.0
1951,Physics,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",2-Jan,Individual,Sir John Douglas Cockcroft,1897-05-27,Todmorden,United Kingdom,United Kingdom,Male,Atomic Energy Research Establishment,"Harwell, Berkshire",United Kingdom,GBR,54.0
1952,Chemistry,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography""",2-Jan,Individual,Archer John Porter Martin,1910-03-01,London,United Kingdom,United Kingdom,Male,National Institute for Medical Research,London,United Kingdom,GBR,42.0
1952,Chemistry,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography""",2-Jan,Individual,Richard Laurence Millington Synge,1914-10-28,Liverpool,United Kingdom,United Kingdom,Male,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,GBR,38.0
1952,Literature,The Nobel Prize in Literature 1952,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",1-Jan,Individual,François Mauriac,1885-10-11,Bordeaux,France,France,Male,,,,FRA,67.0
1952,Medicine,The Nobel Prize in Physiology or Medicine 1952,"""for his discovery of streptomycin, the first antibiotic effective against tuberculosis""",1-Jan,Individual,Selman Abraham Waksman,1888-07-22,Priluka (Nova Pryluka),Russian Empire (Ukraine),Ukraine,Male,Rutgers University,"New Brunswick, NJ",United States of America,UKR,64.0
1952,Peace,The Nobel Peace Prize 1952,,1-Jan,Individual,Albert Schweitzer,1875-01-14,Kaysersberg,Germany (France),France,Male,,,,FRA,77.0
1952,Physics,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",2-Jan,Individual,Edward Mills Purcell,1912-08-30,"Taylorville, IL",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,USA,40.0
1952,Physics,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",2-Jan,Individual,Felix Bloch,1905-10-23,Zurich,Switzerland,Switzerland,Male,Stanford University,"Stanford, CA",United States of America,CHE,47.0
1953,Chemistry,The Nobel Prize in Chemistry 1953,"""for his discoveries in the field of macromolecular chemistry""",1-Jan,Individual,Hermann Staudinger,1881-03-23,Worms,Germany,Germany,Male,University of Freiburg,Breisgau,Germany,DEU,72.0
1953,Literature,The Nobel Prize in Literature 1953,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",1-Jan,Individual,Sir Winston Leonard Spencer Churchill,1874-11-30,Woodstock,United Kingdom,United Kingdom,Male,,,,GBR,79.0
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",2-Jan,Individual,Fritz Albert Lipmann,1899-06-12,Koenigsberg (Kaliningrad),Germany (Russia),Russia,Male,Harvard Medical School,"Boston, MA",United States of America,RUS,54.0
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of the citric acid cycle""",2-Jan,Individual,Hans Adolf Krebs,1900-08-25,Hildesheim,Germany,Germany,Male,Sheffield University,Sheffield,United Kingdom,DEU,53.0
1953,Peace,The Nobel Peace Prize 1953,,1-Jan,Individual,George Catlett Marshall,1880-12-31,"Uniontown, PA",United States of America,United States of America,Male,,,,USA,73.0
1953,Physics,The Nobel Prize in Physics 1953,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""",1-Jan,Individual,Frits Zernike,1888-07-16,Amsterdam,Netherlands,Netherlands,Male,Groningen University,Groningen,Netherlands,NLD,65.0
1954,Chemistry,The Nobel Prize in Chemistry 1954,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",1-Jan,Individual,Linus Carl Pauling,1901-02-28,"Portland, OR",United States of America,United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,USA,53.0
1954,Literature,The Nobel Prize in Literature 1954,"""for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style""",1-Jan,Individual,Ernest Miller Hemingway,1899-07-21,"Oak Park, IL",United States of America,United States of America,Male,,,,USA,55.0
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",3-Jan,Individual,Frederick Chapman Robbins,1916-08-25,"Auburn, AL",United States of America,United States of America,Male,Western Reserve University,"Cleveland, OH",United States of America,USA,38.0
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",3-Jan,Individual,John Franklin Enders,1897-02-10,"West Hartford, CT",United States of America,United States of America,Male,Harvard Medical School,"Boston, MA",United States of America,USA,57.0
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",3-Jan,Individual,Thomas Huckle Weller,1915-06-15,"Ann Arbor, MI",United States of America,United States of America,Male,Children's Medical Center,"Boston, MA",United States of America,USA,39.0
1954,Peace,The Nobel Peace Prize 1954,,1-Jan,Organization,Office of the United Nations High Commissioner for Refugees (UNHCR),,,,,,,,,,
1954,Physics,The Nobel Prize in Physics 1954,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""",2-Jan,Individual,Max Born,1882-12-11,Breslau (Wroclaw),Germany (Poland),Poland,Male,Edinburgh University,Edinburgh,United Kingdom,POL,72.0
1954,Physics,The Nobel Prize in Physics 1954,"""for the coincidence method and his discoveries made therewith""",2-Jan,Individual,Walther Bothe,1891-01-08,Oranienburg,Germany,Germany,Male,University of Heidelberg,Heidelberg,Germany,DEU,63.0
1955,Chemistry,The Nobel Prize in Chemistry 1955,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone""",1-Jan,Individual,Vincent du Vigneaud,1901-05-18,"Chicago, IL",United States of America,United States of America,Male,Cornell University,"Ithaca, NY",United States of America,USA,54.0
1955,Literature,The Nobel Prize in Literature 1955,"""for his vivid epic power which has renewed the great narrative art of Iceland""",1-Jan,Individual,Halldór Kiljan Laxness,1902-04-23,Reykjavik,Iceland,Iceland,Male,,,,ISL,53.0
1955,Medicine,The Nobel Prize in Physiology or Medicine 1955,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""",1-Jan,Individual,Axel Hugo Theodor Theorell,1903-07-06,Linköping,Sweden,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,SWE,52.0
1955,Physics,The Nobel Prize in Physics 1955,"""for his precision determination of the magnetic moment of the electron""",2-Jan,Individual,Polykarp Kusch,1911-01-26,Blankenburg,Germany,Germany,Male,Columbia University,"New York, NY",United States of America,DEU,44.0
1955,Physics,The Nobel Prize in Physics 1955,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",2-Jan,Individual,Willis Eugene Lamb,1913-07-12,"Los Angeles, CA",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America,USA,42.0
1956,Chemistry,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",2-Jan,Individual,Nikolay Nikolaevich Semenov,1896-04-03,Saratov,Russia,Russia,Male,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,Russia,RUS,60.0
1956,Chemistry,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",2-Jan,Individual,Sir Cyril Norman Hinshelwood,1897-05-19,London,United Kingdom,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,GBR,59.0
1956,Literature,The Nobel Prize in Literature 1956,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity""",1-Jan,Individual,Juan Ramón Jiménez,1881-12-24,Moguer,Spain,Spain,Male,,,,ESP,75.0
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",3-Jan,Individual,André Frédéric Cournand,1895-09-24,Paris,France,France,Male,Columbia University,"New York, NY",United States of America,FRA,61.0
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",3-Jan,Individual,Dickinson W. Richards,1895-10-30,"Orange, NJ",United States of America,United States of America,Male,Columbia University,"New York, NY",United States of America,USA,61.0
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",3-Jan,Individual,Werner Forssmann,1904-08-29,Berlin,Germany,Germany,Male,Mainz University,Mainz,Germany,DEU,52.0
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",3-Jan,Individual,John Bardeen,1908-05-23,"Madison, WI",United States of America,United States of America,Male,University of Illinois,"Urbana, IL",United States of America,USA,48.0
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",3-Jan,Individual,Walter Houser Brattain,1902-02-10,Amoy,China,China,Male,Bell Laboratories,"Murray Hill, NJ",United States of America,CHN,54.0
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",3-Jan,Individual,William Bradford Shockley,1910-02-13,London,United Kingdom,United Kingdom,Male,"Semiconductor Laboratory of Beckman Instruments, Inc.","Mountain View, CA",United States of America,GBR,46.0
1957,Chemistry,The Nobel Prize in Chemistry 1957,"""for his work on nucleotides and nucleotide co-enzymes""",1-Jan,Individual,Lord (Alexander R.) Todd,1907-10-02,Glasgow,Scotland,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,GBR,50.0
1957,Literature,The Nobel Prize in Literature 1957,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",1-Jan,Individual,Albert Camus,1913-11-07,Mondovi,French Algeria (Algeria),Algeria,Male,,,,DZA,44.0
1957,Medicine,The Nobel Prize in Physiology or Medicine 1957,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles""",1-Jan,Individual,Daniel Bovet,1907-03-23,Neuchâtel,Switzerland,Switzerland,Male,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy,CHE,50.0
1957,Peace,The Nobel Peace Prize 1957,,1-Jan,Individual,Lester Bowles Pearson,1897-04-23,Toronto,Canada,Canada,Male,,,,CAN,60.0
1957,Physics,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",2-Jan,Individual,Chen Ning Yang,1922-09-22,"Hofei, Anhwei",China,China,Male,Institute for Advanced Study,"Princeton, NJ",United States of America,CHN,35.0
1957,Physics,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",2-Jan,Individual,Tsung-Dao (T.D.) Lee,1926-11-24,Shanghai,China,China,Male,Columbia University,"New York, NY",United States of America,CHN,31.0
1958,Chemistry,The Nobel Prize in Chemistry 1958,"""for his work on the structure of proteins, especially that of insulin""",1-Jan,Individual,Frederick Sanger,1918-08-13,Rendcombe,United Kingdom,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,GBR,40.0
1958,Literature,The Nobel Prize in Literature 1958,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",1-Jan,Individual,Boris Leonidovich Pasternak,1890-02-10,Moscow,Russia,Russia,Male,,,,RUS,68.0
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",4-Jan,Individual,Edward Lawrie Tatum,1909-12-14,"Boulder, CO",United States of America,United States of America,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America,USA,49.0
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",4-Jan,Individual,George Wells Beadle,1903-10-22,"Wahoo, NE",United States of America,United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,USA,55.0
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",2-Jan,Individual,Joshua Lederberg,1925-05-23,"Montclair, NJ",United States of America,United States of America,Male,University of Wisconsin,"Madison, WI",United States of America,USA,33.0
1958,Peace,The Nobel Peace Prize 1958,,1-Jan,Individual,Georges Pire,1910-02-10,Dinant,Belgium,Belgium,Male,,,,BEL,48.0
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",3-Jan,Individual,Igor Yevgenyevich Tamm,1895-07-08,Vladivostok,Russia,Russia,Male,University of Moscow,Moscow,Russia,RUS,63.0
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",3-Jan,Individual,Il´ja Mikhailovich Frank,1908-10-23,Leningrad (Saint Petersburg),Russia,Russia,Male,University of Moscow,Moscow,Russia,RUS,50.0
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",3-Jan,Individual,Pavel Alekseyevich Cherenkov,1904-07-28,Novaya Chigla,Russia,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Russia,RUS,54.0
1959,Chemistry,The Nobel Prize in Chemistry 1959,"""for his discovery and development of the polarographic methods of analysis""",1-Jan,Individual,Jaroslav Heyrovsky,1890-12-20,Prague,Austria-Hungary (Czech Republic),Czech Republic,Male,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czech Republic,CZE,69.0
1959,Literature,The Nobel Prize in Literature 1959,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times""",1-Jan,Individual,Salvatore Quasimodo,1901-08-20,Modica,Italy,Italy,Male,,,,ITA,58.0
1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",2-Jan,Individual,Arthur Kornberg,1918-03-03,"Brooklyn, NY",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America,USA,41.0
1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",2-Jan,Individual,Severo Ochoa,1905-09-24,Luarca,Spain,Spain,Male,New York University,"New York, NY",United States of America,ESP,54.0
1959,Peace,The Nobel Peace Prize 1959,,1-Jan,Individual,Philip J. Noel-Baker,1889-11-01,London,United Kingdom,United Kingdom,Male,,,,GBR,70.0
1959,Physics,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton""",2-Jan,Individual,Emilio Gino Segrè,1905-02-01,Tivoli,Italy,Italy,Male,University of California,"Berkeley, CA",United States of America,ITA,54.0
1959,Physics,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton""",2-Jan,Individual,Owen Chamberlain,1920-07-10,"San Francisco, CA",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America,USA,39.0
1960,Chemistry,The Nobel Prize in Chemistry 1960,"""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science""",1-Jan,Individual,Willard Frank Libby,1908-12-17,"Grand Valley, CO",United States of America,United States of America,Male,University of California,"Los Angeles, CA",United States of America,USA,52.0
1960,Literature,The Nobel Prize in Literature 1960,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",1-Jan,Individual,Saint-John Perse,1887-05-31,Pointe-à-Pitre,Guadeloupe Island,Guadeloupe Island,Male,,,,GLP,73.0
1960,Medicine,The Nobel Prize in Physiology or Medicine 1960,"""for discovery of acquired immunological tolerance""",2-Jan,Individual,Peter Brian Medawar,1915-02-28,Rio de Janeiro,Brazil,Brazil,Male,University College London,London,United Kingdom,BRA,45.0
1960,Medicine,The Nobel Prize in Physiology or Medicine 1960,"""for discovery of acquired immunological tolerance""",2-Jan,Individual,Sir Frank Macfarlane Burnet,1899-09-03,Traralgon,Australia,Australia,Male,Walter and Eliza Hall Institute for Medical Research,Melbourne,Australia,AUS,61.0
1960,Peace,The Nobel Peace Prize 1960,,1-Jan,Individual,Albert John Lutuli,1898-01-01,Bulawayo,Southern Rhodesia (Zimbabwe),Zimbabwe,Male,,,,ZWE,62.0
1960,Physics,The Nobel Prize in Physics 1960,"""for the invention of the bubble chamber""",1-Jan,Individual,Donald Arthur Glaser,1926-09-21,"Cleveland, OH",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America,USA,34.0
1961,Chemistry,The Nobel Prize in Chemistry 1961,"""for his research on the carbon dioxide assimilation in plants""",1-Jan,Individual,Melvin Calvin,1911-04-08,"St. Paul, MN",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America,USA,50.0
1961,Literature,The Nobel Prize in Literature 1961,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",1-Jan,Individual,Ivo Andric,1892-10-10,Dolac,Bosnia (Bosnia and Herzegovina),Bosnia and Herzegovina,Male,,,,BIH,69.0
1961,Medicine,The Nobel Prize in Physiology or Medicine 1961,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",1-Jan,Individual,Georg von Békésy,1899-06-03,Budapest,Hungary,Hungary,Male,Harvard University,"Cambridge, MA",United States of America,HUN,62.0
1961,Peace,The Nobel Peace Prize 1961,,1-Jan,Individual,Dag Hjalmar Agne Carl Hammarskjöld,1905-07-29,Jönköping,Sweden,Sweden,Male,,,,SWE,56.0
1961,Physics,The Nobel Prize in Physics 1961,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",2-Jan,Individual,Robert Hofstadter,1915-02-05,"New York, NY",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America,USA,46.0
1961,Physics,The Nobel Prize in Physics 1961,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",2-Jan,Individual,Rudolf Ludwig Mössbauer,1929-01-31,Munich,Germany,Germany,Male,Technical University,Munich,Germany,DEU,32.0
1962,Chemistry,The Nobel Prize in Chemistry 1962,"""for their studies of the structures of globular proteins""",2-Jan,Individual,John Cowdery Kendrew,1917-03-24,Oxford,United Kingdom,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,GBR,45.0
1962,Chemistry,The Nobel Prize in Chemistry 1962,"""for their studies of the structures of globular proteins""",2-Jan,Individual,Max Ferdinand Perutz,1914-05-19,Vienna,Austria,Austria,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,AUT,48.0
1962,Literature,The Nobel Prize in Literature 1962,"""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception""",1-Jan,Individual,John Steinbeck,1902-02-27,"Salinas, CA",United States of America,United States of America,Male,,,,USA,60.0
1962,Medicine,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",3-Jan,Individual,Francis Harry Compton Crick,1916-06-08,Northampton,United Kingdom,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,GBR,46.0
1962,Medicine,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",3-Jan,Individual,James Dewey Watson,1928-04-06,"Chicago, IL",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,USA,34.0
1962,Medicine,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",3-Jan,Individual,Maurice Hugh Frederick Wilkins,1916-12-15,Pongaroa,New Zealand,New Zealand,Male,London University,London,United Kingdom,NZL,46.0
1962,Peace,The Nobel Peace Prize 1962,,1-Jan,Individual,Linus Carl Pauling,1901-02-28,"Portland, OR",United States of America,United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,USA,61.0
1962,Physics,The Nobel Prize in Physics 1962,"""for his pioneering theories for condensed matter, especially liquid helium""",1-Jan,Individual,Lev Davidovich Landau,1908-01-22,Baku,Russian Empire (Azerbaijan),Azerbaijan,Male,Academy of Sciences,Moscow,Russia,AZE,54.0
1963,Chemistry,The Nobel Prize in Chemistry 1963,"""for their discoveries in the field of the chemistry and technology of high polymers""",2-Jan,Individual,Giulio Natta,1903-02-26,Imperia,Italy,Italy,Male,Institute of Technology,Milan,Italy,ITA,60.0
1963,Chemistry,The Nobel Prize in Chemistry 1963,"""for their discoveries in the field of the chemistry and technology of high polymers""",2-Jan,Individual,Karl Ziegler,1898-11-26,Helsa,Germany,Germany,Male,Max-Planck-Institut,Mülheim/Ruhr,Germany,DEU,65.0
1963,Literature,The Nobel Prize in Literature 1963,"""for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture""",1-Jan,Individual,Giorgos Seferis,1900-03-13,Smyrna (Izmir),Ottoman Empire (Turkey),Turkey,Male,,,,TUR,63.0
1963,Medicine,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",3-Jan,Individual,Alan Lloyd Hodgkin,1914-02-05,Banbury,United Kingdom,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,GBR,49.0
1963,Medicine,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",3-Jan,Individual,Andrew Fielding Huxley,1917-11-22,Hampstead,United Kingdom,United Kingdom,Male,University College London,London,United Kingdom,GBR,46.0
1963,Medicine,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",3-Jan,Individual,Sir John Carew Eccles,1903-01-27,Melbourne,Australia,Australia,Male,Australian National University,Canberra,Australia,AUS,60.0
1963,Peace,The Nobel Peace Prize 1963,,2-Jan,Organization,Comité international de la Croix Rouge (International Committee of the Red Cross),,,,,,,,,,
1963,Peace,The Nobel Peace Prize 1963,,2-Jan,Organization,Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies),,,,,,,,,,
1963,Physics,The Nobel Prize in Physics 1963,"""for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles""",2-Jan,Individual,Eugene Paul Wigner,1902-11-17,Budapest,Austria-Hungary (Hungary),Hungary,Male,Princeton University,"Princeton, NJ",United States of America,HUN,61.0
1963,Physics,The Nobel Prize in Physics 1963,"""for their discoveries concerning nuclear shell structure""",4-Jan,Individual,J. Hans D. Jensen,1907-06-25,Hamburg,Germany,Germany,Male,University of Heidelberg,Heidelberg,Germany,DEU,56.0
